,Id,square,livingRoom,bedRoom,Kitchen,bathroom,totalFloor,floor,buildingStructure,builtYear,renovationCondition,buildingType,houseStructure,stairsHouseRatio,hasElevator,secondaryDistrict,primaryDistrict,orientation,tradeTime,daysOnMarket,follower,ageProperty,listPrice,transactionPrice
0,107104220246,362.5,2,4,1,2,9,低楼层,钢混结构,未知,精装,板楼,复式,1.0,有,湖东,工业园区,南,2021.07.31,2021-07-16,25,暂无数据,1280,1250
1,107103730648,136.06,2,3,1,2,31,中楼层,钢混结构,未知,精装,塔楼,平层,1.0,有,湖东,工业园区,南北东,2021.07.31,2021-03-20,25,满两年,635,620
2,107104130334,73.41,1,2,1,1,6,低楼层,砖混结构,未知,简装,板楼,平层,0.5,无,东环,工业园区,南,2021.07.31,2021-06-23,18,满五年,180,176
3,107103932026,69.16,1,2,1,1,18,高楼层,钢混结构,未知,精装,板楼,平层,0.5,有,东沙湖,工业园区,南北,2021.07.31,2021-05-04,23,满两年,275,270
4,107103928522,71.8,1,2,1,1,5,中楼层,混合结构,未知,精装,板楼,平层,0.5,无,齐门,姑苏,南,2021.07.31,2021-05-03,13,满五年,192,184
5,107104206822,409.18,3,6,1,7,3,低楼层,钢混结构,未知,精装,板楼,暂无数据,1.0,无,湖东,工业园区,南,2021.07.31,2021-07-12,4,满五年,3200,3100
6,107103408841,166.2,2,4,1,2,5,中楼层,钢混结构,未知,简装,板楼,错层,0.5,无,留园西园,姑苏,南,2021.07.31,2020-12-18,6,满五年,333,310
7,107103060603,98.6,2,3,1,1,18,中楼层,钢混结构,未知,毛坯,板楼,平层,0.5,有,花桥,昆山,南北,2021.07.31,2020-09-14,11,暂无数据,195,193
8,107104093237,80.23,1,2,1,1,18,低楼层,钢混结构,未知,精装,板楼,平层,0.5,有,元和,相城,南,2021.07.31,2021-06-13,17,满两年,181,180
9,107103853663,55.16,1,1,1,1,6,高楼层,钢混结构,未知,简装,暂无数据,复式,0.16666666666666666,无,张浦,昆山,南,2021.07.31,2021-04-15,29,满五年,62,60
10,107104088876,125.55,2,3,1,2,6,中楼层,钢混结构,未知,精装,板塔结合,平层,0.5,无,狮山,高新,南,2021.07.31,2021-06-12,15,满五年,372,359
11,107104250453,89.5,2,3,1,1,34,中楼层,钢混结构,未知,简装,塔楼,平层,0.25,有,花桥,昆山,南,2021.07.31,2021-07-24,0,满两年,226,220
12,107103383449,245,3,6,2,4,11,高楼层,钢混结构,未知,精装,板楼,复式,0.5,暂无数据,玉山老城区,昆山,南北,2021.07.31,2020-12-11,16,满五年,435,437
13,107104013257,129.16,2,3,1,2,32,高楼层,钢混结构,未知,精装,板楼,平层,0.5,有,沧浪新城,姑苏,南,2021.07.31,2021-05-24,9,满五年,490,470
14,107103272107,173.24,2,4,1,3,3,低楼层,钢混结构,未知,毛坯,板楼,复式,0.1111111111111111,无,临湖,吴中,南,2021.07.31,2020-11-10,16,满两年,268,263
15,107104187579,107.05,2,3,1,1,5,中楼层,钢混结构,未知,简装,板楼,平层,1.0,有,狮山,高新,南北,2021.07.31,2021-07-07,12,满五年,382,375
16,107104210167,129.99,1,4,1,2,18,中楼层,钢混结构,未知,毛坯,板塔结合,平层,0.5,有,松陵,吴江,南,2021.07.31,2021-07-13,0,满两年,289,285
17,107102575097,77.4,2,2,1,1,34,高楼层,钢混结构,未知,毛坯,暂无数据,平层,0.16666666666666666,暂无数据,蓬朗（开发区）,昆山,南,2021.07.31,2020-05-24,3,暂无数据,142,140
18,107104253901,144.96,2,4,1,2,33,高楼层,钢混结构,未知,精装,塔楼,平层,1.0,暂无数据,玉山老城区,昆山,南北,2021.07.31,2021-07-26,0,满两年,465,460
19,107104191342,141.36,2,4,1,2,19,中楼层,钢混结构,未知,精装,塔楼,平层,0.25,有,玉山老城区,昆山,南,2021.07.31,2021-07-08,13,暂无数据,338,332
20,107103299085,89.44,2,2,1,1,17,中楼层,钢混结构,未知,精装,板楼,平层,0.6666666666666666,有,城南,吴中,南北,2021.07.31,2020-11-17,8,满五年,200,193
21,107103242860,115.65,2,3,1,1,23,中楼层,钢混结构,未知,简装,板塔结合,平层,0.5,有,花桥,昆山,南,2021.07.31,2020-11-01,9,满两年,269,268
22,107103938617,87.99,2,2,1,1,5,低楼层,砖混结构,未知,精装,板楼,平层,0.5,暂无数据,城厢,太仓,南北,2021.07.31,2021-05-06,6,满五年,100,100
23,107103832901,74.42,1,2,1,1,17,中楼层,钢混结构,未知,简装,塔楼,平层,0.5,有,花桥,昆山,南北,2021.07.31,2021-04-10,7,满两年,162,160
24,107104119962,69.55,1,2,1,1,1,低楼层,未知结构,未知,简装,塔楼,平层,1.0,暂无数据,周庄,昆山,南,2021.07.31,2021-06-20,3,满五年,66,65
25,107104102800,54.81,1,2,1,1,6,高楼层,混合结构,未知,精装,板楼,平层,0.5,无,葑门,姑苏,南,2021.07.31,2021-06-15,17,满五年,136,133
26,107104256379,179.52,3,4,1,2,6,高楼层,钢混结构,未知,精装,暂无数据,暂无数据,0.5,无,张浦,昆山,南,2021.07.31,2021-07-27,0,满两年,127,125
27,107000846529,143.95,2,3,1,2,36,高楼层,钢混结构,未知,精装,板楼,平层,1.2,有,湖西CBD,工业园区,东南,2021.07.31,2018-01-08,11,满五年,590,530
28,107104229763,88.37,2,2,1,1,25,低楼层,钢混结构,未知,精装,板塔结合,平层,0.6666666666666666,有,周市,昆山,南,2021.07.31,2021-07-18,2,满两年,159,157
